Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"2","57420","57420001","90222105","4500127789TVH","3766E011","3.000","283.98","0","EUR","Standard Order","0","0","7307119000","GB","00000000004401754260","0","0","0","ELBOW","1.000","5.565 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3778E421","1.000","45.56","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753861","EAR99","Not on Control List","0","EXHAUST MANIFOL","1.000","6.800 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","385202910","20.000","473.40","0","EUR","Standard Order","0","0","8536501500","TW","00000000004401753355/00000000004401753939","EAR99","Not on Control List","0","SWITCH","1.000","5.380 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","4112K062","1.000","233.20","0","EUR","Standard Order","0","0","8483105090","IN","00000000004401753939","EAR99","Not on Control List","0","CAMSHAFT ASSY.","1.000","6.200 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","4113H077","5.000","429.65","0","EUR","Standard Order","0","0","8483908990","IN","00000000004401753862","0","0","0","FANDRIVE HOUSING","1.000","16.525 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","4133L012","25.000","487.75","0","EUR","Standard Order","0","0","3917400099","GB","00000000004401753355","EAR99","Not on Control List","0","CONNECTION","1.000","3.025 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","4142X401","9.000","568.80","0","EUR","Standard Order","0","0","8511900090","GB","00000000004401753861","EAR99","Not on Control List","0","CYL.HEAD COVER","1.000","25.470 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","4770550","1.000","24.33","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER ASSY","1.000","1.300 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","4794132","50.000","1117.00","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401755339","EAR99","Not on Control List","0","FUEL FILTER","1.000","13.900 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","5181457","40.000","841.20","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752981/00000000004401754260","EAR99","Not on Control List","0","FUEL FILTER","1.000","16.000 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","5488883","7.000","975.80","0","EUR","Standard Order","0","0","8421230090","GB","00000000004401754260","EAR99","0","0","BREATHER FILTER","1.000","9.170 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","5654268","25.000","553.50","0","EUR","Standard Order","0","0","8421230090","US","00000000004401752981","EAR99","Not on Control List","0","FUEL FILTER","1.000","8.250 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","5698037","80.000","1392.80","0","EUR","Standard Order","0","0","8421230090","US","00000000004401754344","EAR99","Not on Control List","0","KIT, OIL FILTER","1.000","16.000 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","CV18761","1.000","17.32","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401753262","0","0","0","ROTATOR","1.000","0.060 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","KRP1688","2.000","16.46","0","EUR","Standard Order","0","0","9025190090","CN","00000000004401754260","EAR99","Not on Control List","0","SENSOR","1.000","0.108 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","L687MF05I","4.000","0.64","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401753262","EAR99","Not on Control List","0","JOINT","1.000","0.040 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","T406140","1.000","39.08","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753861","0","0","0","CONROD ASSEMBLY","1.000","2.180 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T406248","15.000","87.00","0","EUR","Standard Order","0","0","8409990090","CA","00000000004401753862","EAR99","Not on Control List","0","BRIDGEPIECE ASS","1.000","0.675 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T409981","4.000","657.92","0","EUR","Standard Order","0","0","8409990010","HU","00000000004401754260","0","0","0","INJECTOR","1.000","2.440 KG","3171000"
